0	3379	1
1	3379	1
2	6674	1
3	6674	1
4	6650	1
5	6650	1
6	6707	1
7	6707	1
8	413	1
8	1755	1
8	1834	1
8	2056	1
8	3654	1
8	4148	1
8	4290	1
9	413	1
9	1755	1
9	1834	1
9	2056	1
9	3654	1
9	4148	1
9	4290	1
10	4448	1
11	4448	1
12	819	1
12	3387	1
13	819	1
13	3387	1
14	4271	1
14	5985	1
14	7263	1
15	4271	1
15	5985	1
15	7263	1
16	1214	1
16	1259	1
16	2415	1
16	4475	1
16	5012	1
16	6239	1
16	7096	1
20	6499	1
20	6619	1
21	6499	1
21	6619	1
22	5516	1
22	5957	1
22	6042	1
23	5516	1
23	5957	1
23	6042	1
25	1204	1
28	11	1
29	11	1
30	5613	1
31	5613	1
32	808	1
32	2417	1
32	3632	1
32	4150	1
32	4248	1
32	4461	1
33	808	1
33	2417	1
33	3632	1
33	4150	1
33	4248	1
33	4461	1
34	1067	1
35	1067	1
36	724	1
38	5126	1
39	5126	1
40	5795	1
42	2504	1
44	3277	1
45	3277	1
48	2288	1
49	2288	1
52	6503	1
53	6503	1
55	5777	1
57	748	1
59	6676	1
60	5940	1
61	5940	1
62	361	1
63	361	1
64	1327	1
64	3612	1
65	1327	1
65	3612	1
66	3370	1
66	5783	1
67	3370	1
67	5783	1
68	859	1
71	2705	1
73	6805	1
75	1177	1
75	2844	1
75	2875	1
75	3074	1
75	3279	1
75	6181	1
76	764	1
77	764	1
78	6010	1
79	6010	1
80	835	1
81	835	1
82	56	1
82	1127	1
82	2646	1
82	4189	1
82	4846	1
83	56	1
83	1127	1
83	2646	1
83	4189	1
83	4846	1
85	2843	1
87	1402	1
87	3426	1
87	3854	1
88	2192	1
89	2192	1
91	4328	1
92	2339	1
92	2654	1
92	4258	1
93	2339	1
93	2654	1
93	4258	1
94	6032	1
95	6032	1
96	565	1
96	760	1
97	565	1
97	760	1
98	1124	1
99	1124	1
100	790	1
100	2440	1
100	4527	1
100	5521	1
101	790	1
101	2440	1
101	4527	1
101	5521	1
102	471	1
102	2345	1
102	3261	1
102	3322	1
102	4208	1
102	5666	1
103	471	1
103	2345	1
103	3261	1
103	3322	1
103	4208	1
103	5666	1
104	6667	1
105	6667	1
106	1804	1
106	2374	1
107	1804	1
107	2374	1
109	7225	1
110	4190	1
111	4190	1
112	1167	1
113	1167	1
114	1068	1
114	1808	1
114	4929	1
115	1068	1
115	1808	1
115	4929	1
116	353	1
116	7309	1
117	353	1
117	7309	1
120	4242	1
121	4242	1
122	1444	1
126	2574	1
127	2574	1
128	3029	1
130	5390	1
131	5390	1
132	58	1
135	4471	1
137	3852	1
137	4215	1
138	2155	1
140	6498	1
143	73	1
145	5889	1
146	1025	1
146	1678	1
147	1025	1
147	1678	1
149	514	1
149	1230	1
149	5109	1
150	1316	1
150	5973	1
151	1316	1
151	5973	1
152	2484	1
152	6731	1
153	2484	1
153	6731	1
154	708	1
154	1564	1
154	5481	1
156	4482	1
158	967	1
158	1597	1
158	1624	1
158	2768	1
158	2885	1
159	967	1
159	1597	1
159	1624	1
159	2768	1
159	2885	1
160	704	1
160	1583	1
160	4136	1
160	5753	1
160	6393	1
160	6860	1
163	5469	1
165	984	1
165	1571	1
165	6165	1
166	3475	1
167	3475	1
168	3312	1
168	4275	1
168	6467	1
169	3312	1
169	4275	1
169	6467	1
170	1626	1
170	2109	1
170	6028	1
171	1626	1
171	2109	1
171	6028	1
176	3274	1
176	5298	1
177	3274	1
177	5298	1
179	3234	1
179	4824	1
179	6559	1
180	2980	1
181	2980	1
183	3883	1
184	626	1
185	626	1
186	1144	1
186	3501	1
186	6868	1
186	7180	1
187	1144	1
187	3501	1
187	6868	1
187	7180	1
188	252	1
189	252	1
190	5005	1
191	5005	1
192	148	1
194	4049	1
195	4049	1
196	1691	1
197	1691	1
199	6130	1
200	6861	1
201	6861	1
202	603	1
202	694	1
202	749	1
202	1322	1
202	4742	1
203	603	1
203	694	1
203	749	1
203	1322	1
203	4742	1
205	1980	1
205	5040	1
206	98	1
208	774	1
208	4806	1
209	774	1
209	4806	1
210	5732	1
211	5732	1
213	5369	1
215	4045	1
216	1663	1
219	3929	1
220	4777	1
221	4777	1
222	773	1
223	773	1
224	31	1
225	31	1
226	1041	1
227	1041	1
228	2074	1
229	2074	1
230	6210	1
231	6210	1
233	1311	1
235	1964	1
235	3417	1
235	3662	1
235	6920	1
236	1825	1
238	1339	1
240	1184	1
240	6011	1
241	1184	1
241	6011	1
244	2456	1
247	242	1
247	4180	1
248	649	1
249	649	1
251	4889	1
252	6662	1
254	7256	1
256	6680	1
257	6680	1
258	1262	1
258	1288	1
261	3071	1
261	6771	1
263	416	1
263	7100	1
264	4062	1
265	4062	1
266	1062	1
266	6581	1
267	1062	1
267	6581	1
270	365	1
270	1646	1
270	4113	1
270	5165	1
270	5379	1
270	5387	1
270	6601	1
270	6740	1
270	6763	1
271	365	1
271	1646	1
271	4113	1
271	5165	1
